,PV_Advanced_Cap,PV_Moderate_Cap,PV_Conservative_Cap,Wind_Advanced_Cap,Wind_Moderate_Cap,Wind_Conservative_Cap,PV_Advanced_OM,PV_Moderate_OM,PV_Conservative_OM,Wind_Advanced_OM,Wind_Moderate_OM,Wind_Conservative_OM,Coal O&M $/kW-yr,Coal O&M $/MWhr
2020,1347.269745,1347.269745,1347.269745,1311.785125,1333.561106,1337.916303,23.3964,23.3964,23.3964,42.21636364,42.63181818,43,71.8,7.86
2021,1274.949937,1288.483956,1328.265846,1247.676635,1291.228598,1299.938991,22.52411108,22.71037865,23.14435266,41.43272727,42.26363636,43,71.8,7.86
2022,1202.630129,1229.698168,1309.261947,1183.568146,1248.89609,1261.961679,21.66026224,22.02696337,22.89348114,40.64909091,41.89545455,43,71.8,7.86
2023,1130.310321,1170.91238,1290.258048,1119.459656,1206.563582,1223.984367,20.80419505,21.34603917,22.64375036,39.86545455,41.52727273,43,71.8,7.86
2024,1057.990513,1112.126592,1271.254149,1055.351167,1164.231074,1186.007056,19.9553178,20.66749775,22.39512659,39.08181818,41.15909091,43,71.8,7.86
2025,985.6707049,1053.340804,1252.25025,991.2426773,1121.898566,1148.029744,19.11309733,19.991237,22.14757743,38.29818182,40.79090909,43,71,7.75
2026,913.3508969,994.5550154,1233.246352,927.1341878,1079.566058,1110.052432,18.27705187,19.31716053,21.90107173,37.51454545,40.42272727,43,70.2,7.63
2027,841.0310889,935.7692272,1214.242453,863.0256983,1037.23355,1072.075121,17.44674509,18.64517735,21.65557954,36.73090909,40.05454545,43,69.4,7.52
2028,768.711281,876.983439,1195.238554,798.9172088,994.9010422,1034.097809,16.62178079,17.97520142,21.41107204,35.94727273,39.68636364,43,68.6,7.41
2029,696.391473,818.1976507,1176.234655,734.8087193,952.5685342,996.1204972,15.80179845,17.30715138,21.1675215,35.16363636,39.31818182,43,67.8,7.29
2030,624.071665,759.4118625,1157.230756,670.7002298,910.2360262,958.1431854,14.98646926,16.64095018,20.92490119,34.38,38.95,43,67,7.18
2031,616.396261,752.6448526,1137.339812,662.3164769,901.1336659,953.3524695,14.85263371,16.55560512,20.71019169,33.8643,38.657875,42.902475,66.2,7.07
2032,608.7208569,745.8778428,1117.448867,653.9327241,892.0313056,948.5617536,14.71967068,16.47056323,20.49553831,33.3486,38.36575,42.80495,65.3,6.95
2033,601.0454529,739.1108329,1097.557922,645.5489712,882.9289454,943.7710377,14.58755476,16.38581956,20.28094069,32.8329,38.073625,42.707425,64.5,6.84
2034,593.3700489,732.343823,1077.666978,637.1652183,873.8265851,938.9803217,14.45626151,16.30136924,20.06639843,32.3172,37.7815,42.6099,64.5,6.84
2035,585.6946448,725.5768131,1057.776033,628.7814654,864.7242249,934.1896058,14.32576743,16.21720752,19.85191114,31.8015,37.489375,42.512375,64.5,6.84
2036,578.0192408,718.8098033,1037.885088,620.3977126,855.6218646,929.3988899,14.1960499,16.13332973,19.63747846,31.2858,37.19725,42.41485,64.5,6.84
2037,570.3438368,712.0427934,1017.994143,612.0139597,846.5195043,924.608174,14.06708715,16.04973133,19.4231,30.7701,36.905125,42.317325,64.5,6.84
2038,562.6684327,705.2757835,998.1031988,603.6302068,837.4171441,919.817458,13.93885821,15.96640785,19.2087754,30.2544,36.613,42.2198,64.5,6.84
2039,554.9930287,698.5087736,978.2122541,595.246454,828.3147838,915.0267421,13.81134289,15.88335494,18.99450429,29.7387,36.320875,42.122275,64.5,6.84
2040,547.3176247,691.7417638,958.3213094,586.8627011,819.2124236,910.2360262,13.68452171,15.80056832,18.78028629,29.223,36.02875,42.02475,64.5,6.84
2041,539.6422206,684.9747539,938.4303647,578.4789482,810.1100633,905.4453102,13.55837593,15.7180438,18.56612106,28.7073,35.736625,41.927225,64.5,6.84
2042,531.9668166,678.207744,918.53942,570.0951953,801.007703,900.6545943,13.43288745,15.63577729,18.35200823,28.1916,35.4445,41.8297,64.5,6.84
2043,524.2914125,671.4407341,898.6484753,561.7114425,791.9053428,895.8638784,13.30803882,15.55376479,18.13794745,27.6759,35.152375,41.732175,64.5,6.84
2044,516.6160085,664.6737243,878.7575306,553.3276896,782.8029825,891.0731625,13.1838132,15.47200236,17.92393837,27.1602,34.86025,41.63465,64.5,6.84
2045,508.9406045,657.9067144,858.866586,544.9439367,773.7006222,886.2824465,13.06019434,15.39048615,17.70998063,26.6445,34.568125,41.537125,64.5,6.84
2046,501.2652004,651.1397045,838.9756413,536.5601838,764.598262,881.4917306,12.93716655,15.30921241,17.4960739,26.1288,34.276,41.4396,64.5,6.84
2047,493.5897964,644.3726946,819.0846966,528.176431,755.4959017,876.7010147,12.81471467,15.22817743,17.28221782,25.6131,33.983875,41.342075,64.5,6.84
2048,485.9143924,637.6056848,799.1937519,519.7926781,746.3935415,871.9102988,12.69282407,15.14737759,17.06841207,25.0974,33.69175,41.24455,64.5,6.84
2049,478.2389883,630.8386749,779.3028072,511.4089252,737.2911812,867.1195828,12.57148058,15.06680936,16.8546563,24.5817,33.399625,41.147025,64.5,6.84
2050,470.5635843,624.071665,759.4118625,503.0251724,728.1888209,862.3288669,12.45067053,14.98646926,16.64095018,24.066,33.1075,41.0495,64.5,6.84
